run,model,episode,reward,flag
1,1,1,1039.0,False
1,1,2,1046.0,False
1,1,3,1041.0,False
1,1,4,608.0,False
1,1,5,650.0,False
1,1,6,634.0,False
1,1,7,634.0,False
1,1,8,634.0,False
1,1,9,649.0,False
1,1,10,634.0,False
1,1,11,1042.0,False
1,1,12,634.0,False
1,1,13,1324.0,False
1,1,14,1043.0,False
1,1,15,1133.0,False
1,1,16,840.0,False
1,1,17,1042.0,False
1,1,18,634.0,False
1,1,19,634.0,False
1,1,20,634.0,False
1,1,21,1037.0,False
1,1,22,607.0,False
1,1,23,815.0,False
1,1,24,629.0,False
1,1,25,1042.0,False
1,1,26,634.0,False
1,1,27,999.0,False
1,1,28,634.0,False
1,1,29,1042.0,False
1,1,30,1053.0,False
1,1,31,1038.0,False
1,1,32,232.0,False
1,1,33,634.0,False
1,1,34,1041.0,False
1,1,35,1323.0,False
1,1,36,632.0,False
1,1,37,634.0,False
1,1,38,1041.0,False
1,1,39,237.0,False
1,1,40,1312.0,False
1,1,41,1008.0,False
1,1,42,236.0,False
1,1,43,1039.0,False
1,1,44,1020.0,False
1,1,45,231.0,False
1,1,46,1313.0,False
1,1,47,634.0,False
1,1,48,991.0,False
1,1,49,1337.0,False
1,1,50,707.0,False
1,1,51,1050.0,False
1,1,52,634.0,False
1,1,53,1326.0,False
1,1,54,1038.0,False
1,1,55,634.0,False
1,1,56,634.0,False
1,1,57,232.0,False
1,1,58,634.0,False
1,1,59,634.0,False
1,1,60,1041.0,False
1,1,61,634.0,False
1,1,62,1031.0,False
1,1,63,634.0,False
1,1,64,634.0,False
1,1,65,1324.0,False
1,1,66,634.0,False
1,1,67,1176.0,False
1,1,68,1003.0,False
1,1,69,634.0,False
1,1,70,630.0,False
1,1,71,634.0,False
1,1,72,1043.0,False
1,1,73,1046.0,False
1,1,74,634.0,False
1,1,75,1058.0,False
1,1,76,1042.0,False
1,1,77,913.0,False
1,1,78,634.0,False
1,1,79,634.0,False
1,1,80,634.0,False
1,1,81,631.0,False
1,1,82,1042.0,False
1,1,83,634.0,False
1,1,84,634.0,False
1,1,85,634.0,False
1,1,86,634.0,False
1,1,87,634.0,False
1,1,88,235.0,False
1,1,89,608.0,False
1,1,90,634.0,False
1,1,91,978.0,False
1,1,92,1042.0,False
1,1,93,634.0,False
1,1,94,634.0,False
1,1,95,1040.0,False
1,1,96,634.0,False
1,1,97,634.0,False
1,1,98,1319.0,False
1,1,99,1323.0,False
1,1,100,1041.0,False
1,2,1,1324.0,False
1,2,2,1039.0,False
1,2,3,1312.0,False
1,2,4,1308.0,False
1,2,5,1040.0,False
1,2,6,985.0,False
1,2,7,1678.0,False
1,2,8,1325.0,False
1,2,9,610.0,False
1,2,10,1324.0,False
1,2,11,981.0,False
1,2,12,1039.0,False
1,2,13,1324.0,False
1,2,14,1039.0,False
1,2,15,1038.0,False
1,2,16,1325.0,False
1,2,17,1309.0,False
1,2,18,1324.0,False
1,2,19,1413.0,False
1,2,20,617.0,False
1,2,21,1309.0,False
1,2,22,1312.0,False
1,2,23,1312.0,False
1,2,24,1312.0,False
1,2,25,1037.0,False
1,2,26,1326.0,False
1,2,27,1167.0,False
1,2,28,1045.0,False
1,2,29,1324.0,False
1,2,30,1039.0,False
1,2,31,1244.0,False
1,2,32,1312.0,False
1,2,33,1321.0,False
1,2,34,1411.0,False
1,2,35,1324.0,False
1,2,36,1325.0,False
1,2,37,1040.0,False
1,2,38,1311.0,False
1,2,39,1315.0,False
1,2,40,1299.0,False
1,2,41,1040.0,False
1,2,42,1040.0,False
1,2,43,1038.0,False
1,2,44,1324.0,False
1,2,45,1324.0,False
1,2,46,1311.0,False
1,2,47,1328.0,False
1,2,48,1325.0,False
1,2,49,996.0,False
1,2,50,1051.0,False
1,2,51,1324.0,False
1,2,52,1324.0,False
1,2,53,1322.0,False
1,2,54,1316.0,False
1,2,55,1327.0,False
1,2,56,1324.0,False
1,2,57,1356.0,False
1,2,58,636.0,False
1,2,59,1039.0,False
1,2,60,1324.0,False
1,2,61,1323.0,False
1,2,62,1323.0,False
1,2,63,231.0,False
1,2,64,231.0,False
1,2,65,1324.0,False
1,2,66,1027.0,False
1,2,67,1324.0,False
1,2,68,231.0,False
