run,model,episode,reward,flag
1,400,86,405.0,False
1,400,87,405.0,False
1,400,88,405.0,False
1,400,89,405.0,False
1,400,90,405.0,False
1,400,91,405.0,False
1,400,92,405.0,False
1,400,93,383.0,False
1,400,94,384.0,False
1,400,95,405.0,False
1,400,96,405.0,False
1,400,97,405.0,False
1,400,98,405.0,False
1,400,99,405.0,False
1,400,100,405.0,False
1,500,1,242.0,False
1,500,2,242.0,False
1,500,3,242.0,False
1,500,4,359.0,False
1,500,5,242.0,False
1,500,6,367.0,False
1,500,7,242.0,False
1,500,8,405.0,False
1,500,9,242.0,False
1,500,10,242.0,False
1,500,11,380.0,False
1,500,12,242.0,False
1,500,13,242.0,False
1,500,14,242.0,False
1,500,15,242.0,False
1,500,16,242.0,False
1,500,17,242.0,False
1,500,18,376.0,False
1,500,19,242.0,False
1,500,20,242.0,False
1,500,21,242.0,False
1,500,22,242.0,False
1,500,23,242.0,False
1,500,24,460.0,False
1,500,25,1257.0,False
1,500,26,242.0,False
1,500,27,460.0,False
1,500,28,242.0,False
1,500,29,260.0,False
1,500,30,242.0,False
1,500,31,242.0,False
1,500,32,242.0,False
1,500,33,242.0,False
1,500,34,1076.0,False
1,500,35,242.0,False
1,500,36,242.0,False
1,500,37,242.0,False
1,500,38,242.0,False
1,500,39,448.0,False
1,500,40,778.0,False
1,500,41,242.0,False
1,500,42,460.0,False
1,500,43,242.0,False
1,500,44,242.0,False
1,500,45,242.0,False
1,500,46,242.0,False
1,500,47,935.0,False
1,500,48,759.0,False
1,500,49,354.0,False
1,500,50,242.0,False
1,500,51,242.0,False
1,500,52,242.0,False
1,500,53,387.0,False
1,500,54,242.0,False
1,500,55,242.0,False
1,500,56,242.0,False
1,500,57,405.0,False
1,500,58,277.0,False
1,500,59,242.0,False
1,500,60,242.0,False
1,500,61,242.0,False
1,500,62,242.0,False
1,500,63,242.0,False
1,500,64,260.0,False
1,500,65,245.0,False
1,500,66,381.0,False
1,500,67,242.0,False
1,500,68,242.0,False
1,500,69,736.0,False
1,500,70,398.0,False
1,500,71,1372.0,False
1,500,72,242.0,False
1,500,73,405.0,False
1,500,74,242.0,False
1,500,75,242.0,False
1,500,76,242.0,False
1,500,77,242.0,False
1,500,78,242.0,False
1,500,79,242.0,False
1,500,80,242.0,False
1,500,81,242.0,False
1,500,82,242.0,False
1,500,83,242.0,False
1,500,84,242.0,False
1,500,85,242.0,False
1,500,86,242.0,False
1,500,87,575.0,False
1,500,88,242.0,False
1,500,89,242.0,False
1,500,90,242.0,False
1,500,91,1261.0,False
1,500,92,563.0,False
1,500,93,242.0,False
1,500,94,242.0,False
1,500,95,242.0,False
1,500,96,242.0,False
1,500,97,570.0,False
1,500,98,621.0,False
1,500,99,242.0,False
1,500,100,242.0,False
1,600,1,447.0,False
1,600,2,407.0,False
1,600,3,538.0,False
1,600,4,492.0,False
1,600,5,564.0,False
1,600,6,545.0,False
1,600,7,542.0,False
1,600,8,550.0,False
1,600,9,558.0,False
1,600,10,526.0,False
1,600,11,387.0,False
1,600,12,530.0,False
1,600,13,406.0,False
1,600,14,396.0,False
1,600,15,567.0,False
1,600,16,661.0,False
1,600,17,375.0,False
1,600,18,566.0,False
1,600,19,391.0,False
1,600,20,431.0,False
1,600,21,276.0,False
1,600,22,559.0,False
1,600,23,690.0,False
1,600,24,422.0,False
1,600,25,701.0,False
1,600,26,550.0,False
1,600,27,571.0,False
1,600,28,520.0,False
1,600,29,396.0,False
1,600,30,437.0,False
1,600,31,405.0,False
1,600,32,566.0,False
1,600,33,526.0,False
1,600,34,406.0,False
1,600,35,401.0,False
1,600,36,571.0,False
1,600,37,507.0,False
1,600,38,636.0,False
1,600,39,541.0,False
1,600,40,405.0,False
1,600,41,386.0,False
1,600,42,520.0,False
1,600,43,539.0,False
1,600,44,559.0,False
1,600,45,362.0,False
1,600,46,554.0,False
1,600,47,546.0,False
1,600,48,452.0,False
1,600,49,568.0,False
1,600,50,259.0,False
1,600,51,440.0,False
1,600,52,525.0,False
1,600,53,511.0,False
1,600,54,568.0,False
1,600,55,564.0,False
1,600,56,404.0,False
1,600,57,381.0,False
1,600,58,560.0,False
1,600,59,432.0,False
1,600,60,430.0,False
1,600,61,618.0,False
1,600,62,406.0,False
1,600,63,546.0,False
1,600,64,529.0,False
1,600,65,379.0,False
1,600,66,377.0,False
1,600,67,567.0,False
1,600,68,387.0,False
1,600,69,559.0,False
1,600,70,546.0,False
1,600,71,276.0,False
1,600,72,423.0,False
1,600,73,282.0,False
1,600,74,494.0,False
1,600,75,461.0,False
1,600,76,540.0,False
1,600,77,537.0,False
1,600,78,572.0,False
1,600,79,404.0,False
1,600,80,571.0,False
1,600,81,406.0,False
1,600,82,639.0,False
1,600,83,259.0,False
1,600,84,506.0,False
1,600,85,405.0,False
1,600,86,537.0,False
1,600,87,492.0,False
1,600,88,564.0,False
1,600,89,432.0,False
1,600,90,804.0,False
1,600,91,570.0,False
1,600,92,452.0,False
1,600,93,570.0,False
1,600,94,406.0,False
1,600,95,564.0,False
1,600,96,566.0,False
1,600,97,559.0,False
1,600,98,564.0,False
1,600,99,660.0,False
1,600,100,276.0,False
1,700,1,568.0,False
1,700,2,549.0,False
1,700,3,259.0,False
1,700,4,785.0,False
1,700,5,361.0,False
1,700,6,559.0,False
1,700,7,559.0,False
1,700,8,75.0,False
1,700,9,427.0,False
1,700,10,564.0,False
1,700,11,672.0,False
1,700,12,834.0,False
1,700,13,436.0,False
1,700,14,322.0,False
1,700,15,460.0,False
1,700,16,632.0,False
1,700,17,383.0,False
1,700,18,628.0,False
1,700,19,1255.0,False
1,700,20,387.0,False
1,700,21,369.0,False
1,700,22,445.0,False
1,700,23,364.0,False
1,700,24,427.0,False
1,700,25,568.0,False
1,700,26,1411.0,False
1,700,27,623.0,False
1,700,28,559.0,False
1,700,29,362.0,False
1,700,30,827.0,False
1,700,31,571.0,False
1,700,32,551.0,False
1,700,33,399.0,False
1,700,34,655.0,False
1,700,35,398.0,False
1,700,36,573.0,False
1,700,37,665.0,False
1,700,38,396.0,False
1,700,39,553.0,False
1,700,40,368.0,False
1,700,41,364.0,False
1,700,42,384.0,False
1,700,43,347.0,False
1,700,44,371.0,False
1,700,45,368.0,False
1,700,46,236.0,False
1,700,47,571.0,False
1,700,48,425.0,False
1,700,49,632.0,False
1,700,50,434.0,False
1,700,51,377.0,False
1,700,52,566.0,False
1,700,53,364.0,False
1,700,54,774.0,False
1,700,55,567.0,False
1,700,56,667.0,False
1,700,57,377.0,False
1,700,58,561.0,False
1,700,59,503.0,False
1,700,60,384.0,False
1,700,61,464.0,False
1,700,62,260.0,False
1,700,63,342.0,False
1,700,64,552.0,False
1,700,65,348.0,False
1,700,66,379.0,False
1,700,67,538.0,False
1,700,68,408.0,False
1,700,69,424.0,False
1,700,70,453.0,False
1,700,71,800.0,False
1,700,72,570.0,False
1,700,73,413.0,False
1,700,74,382.0,False
1,700,75,555.0,False
1,700,76,376.0,False
1,700,77,362.0,False
1,700,78,276.0,False
1,700,79,464.0,False
1,700,80,819.0,False
1,700,81,571.0,False
1,700,82,259.0,False
1,700,83,365.0,False
1,700,84,618.0,False
1,700,85,260.0,False
1,700,86,75.0,False
1,700,87,260.0,False
1,700,88,276.0,False
1,700,89,440.0,False
1,700,90,386.0,False
1,700,91,378.0,False
1,700,92,375.0,False
1,700,93,573.0,False
1,700,94,329.0,False
1,700,95,316.0,False
1,700,96,384.0,False
1,700,97,368.0,False
1,700,98,958.0,False
1,700,99,632.0,False
1,700,100,438.0,False
1,800,1,577.0,False
1,800,2,386.0,False
1,800,3,577.0,False
1,800,4,577.0,False
1,800,5,577.0,False
1,800,6,577.0,False
1,800,7,577.0,False
1,800,8,577.0,False
1,800,9,577.0,False
1,800,10,577.0,False
1,800,11,577.0,False
1,800,12,577.0,False
1,800,13,577.0,False
1,800,14,410.0,False
1,800,15,575.0,False
1,800,16,577.0,False
1,800,17,577.0,False
1,800,18,577.0,False
1,800,19,577.0,False
1,800,20,451.0,False
1,800,21,557.0,False
1,800,22,577.0,False
1,800,23,577.0,False
1,800,24,276.0,False
1,800,25,577.0,False
1,800,26,577.0,False
1,800,27,1429.0,False
1,800,28,577.0,False
1,800,29,577.0,False
1,800,30,577.0,False
1,800,31,577.0,False
1,800,32,577.0,False
