run,model,step,reward,flag
1,6,83,259.0,False
1,6,84,368.0,False
1,6,85,259.0,False
1,6,86,535.0,False
1,6,87,533.0,False
1,6,88,259.0,False
1,6,89,395.0,False
1,6,90,263.0,False
1,6,91,447.0,False
1,6,92,438.0,False
1,6,93,628.0,False
1,6,94,257.0,False
1,6,95,431.0,False
1,6,96,439.0,False
1,6,97,1367.0,False
1,6,98,387.0,False
1,6,99,437.0,False
1,6,100,438.0,False
1,7,1,369.0,False
1,7,2,275.0,False
1,7,3,258.0,False
1,7,4,437.0,False
1,7,5,259.0,False
1,7,6,443.0,False
1,7,7,907.0,False
1,7,8,431.0,False
1,7,9,348.0,False
1,7,10,802.0,False
1,7,11,435.0,False
1,7,12,263.0,False
1,7,13,368.0,False
1,7,14,452.0,False
1,7,15,275.0,False
1,7,16,258.0,False
1,7,17,372.0,False
1,7,18,275.0,False
1,7,19,442.0,False
1,7,20,258.0,False
1,7,21,449.0,False
1,7,22,257.0,False
1,7,23,389.0,False
1,7,24,641.0,False
1,7,25,257.0,False
1,7,26,258.0,False
1,7,27,545.0,False
1,7,28,545.0,False
1,7,29,553.0,False
1,7,30,258.0,False
1,7,31,367.0,False
1,7,32,436.0,False
1,7,33,585.0,False
1,7,34,453.0,False
1,7,35,257.0,False
1,7,36,434.0,False
1,7,37,451.0,False
1,7,38,263.0,False
1,7,39,369.0,False
1,7,40,258.0,False
1,7,41,540.0,False
1,7,42,275.0,False
1,7,43,539.0,False
1,7,44,435.0,False
1,7,45,444.0,False
1,7,46,549.0,False
1,7,47,1038.0,False
1,7,48,625.0,False
1,7,49,264.0,False
1,7,50,434.0,False
1,7,51,264.0,False
1,7,52,442.0,False
1,7,53,258.0,False
1,7,54,259.0,False
1,7,55,708.0,False
1,7,56,359.0,False
1,7,57,451.0,False
1,7,58,264.0,False
1,7,59,257.0,False
1,7,60,277.0,False
1,7,61,257.0,False
1,7,62,437.0,False
1,7,63,447.0,False
1,7,64,435.0,False
1,7,65,710.0,False
1,7,66,390.0,False
1,7,67,441.0,False
1,7,68,275.0,False
1,7,69,452.0,False
1,7,70,258.0,False
1,7,71,450.0,False
1,7,72,695.0,False
1,7,73,910.0,False
1,7,74,258.0,False
1,7,75,75.0,False
1,7,76,259.0,False
1,7,77,257.0,False
1,7,78,264.0,False
1,7,79,240.0,False
1,7,80,379.0,False
1,7,81,264.0,False
1,7,82,257.0,False
1,7,83,257.0,False
1,7,84,438.0,False
1,7,85,453.0,False
1,7,86,434.0,False
1,7,87,436.0,False
1,7,88,264.0,False
1,7,89,432.0,False
1,7,90,589.0,False
1,7,91,449.0,False
1,7,92,443.0,False
1,7,93,387.0,False
1,7,94,1240.0,False
1,7,95,264.0,False
1,7,96,431.0,False
1,7,97,264.0,False
1,7,98,612.0,False
1,7,99,375.0,False
1,7,100,448.0,False
1,8,1,454.0,False
1,8,2,355.0,False
1,8,3,421.0,False
1,8,4,265.0,False
1,8,5,259.0,False
1,8,6,537.0,False
1,8,7,263.0,False
1,8,8,431.0,False
1,8,9,699.0,False
1,8,10,262.0,False
1,8,11,441.0,False
1,8,12,440.0,False
1,8,13,258.0,False
1,8,14,251.0,False
1,8,15,257.0,False
1,8,16,439.0,False
1,8,17,512.0,False
1,8,18,906.0,False
1,8,19,903.0,False
1,8,20,720.0,False
1,8,21,258.0,False
1,8,22,367.0,False
1,8,23,275.0,False
1,8,24,75.0,False
1,8,25,739.0,False
1,8,26,257.0,False
1,8,27,257.0,False
1,8,28,704.0,False
1,8,29,764.0,False
1,8,30,263.0,False
1,8,31,409.0,False
1,8,32,1411.0,False
1,8,33,258.0,False
1,8,34,409.0,False
1,8,35,263.0,False
1,8,36,257.0,False
1,8,37,433.0,False
1,8,38,453.0,False
1,8,39,729.0,False
1,8,40,258.0,False
1,8,41,366.0,False
1,8,42,436.0,False
1,8,43,267.0,False
1,8,44,257.0,False
1,8,45,952.0,False
1,8,46,270.0,False
1,8,47,560.0,False
1,8,48,387.0,False
1,8,49,269.0,False
1,8,50,267.0,False
1,8,51,276.0,False
1,8,52,276.0,False
1,8,53,257.0,False
1,8,54,262.0,False
1,8,55,268.0,False
1,8,56,452.0,False
1,8,57,363.0,False
1,8,58,690.0,False
1,8,59,275.0,False
1,8,60,443.0,False
1,8,61,378.0,False
1,8,62,461.0,False
1,8,63,377.0,False
1,8,64,450.0,False
1,8,65,444.0,False
1,8,66,257.0,False
1,8,67,569.0,False
1,8,68,257.0,False
1,8,69,258.0,False
1,8,70,447.0,False
1,8,71,437.0,False
1,8,72,815.0,False
1,8,73,813.0,False
1,8,74,275.0,False
1,8,75,291.0,False
1,8,76,75.0,False
1,8,77,258.0,False
1,8,78,958.0,False
1,8,79,758.0,False
1,8,80,258.0,False
1,8,81,258.0,False
1,8,82,258.0,False
1,8,83,275.0,False
1,8,84,722.0,False
1,8,85,386.0,False
1,8,86,261.0,False
1,8,87,429.0,False
1,8,88,446.0,False
1,8,89,272.0,False
1,8,90,253.0,False
1,8,91,704.0,False
1,8,92,263.0,False
1,8,93,450.0,False
1,8,94,258.0,False
1,8,95,449.0,False
1,8,96,1231.0,False
1,8,97,400.0,False
1,8,98,441.0,False
1,8,99,363.0,False
1,8,100,706.0,False
1,9,1,448.0,False
1,9,2,915.0,False
1,9,3,498.0,False
1,9,4,546.0,False
1,9,5,805.0,False
1,9,6,258.0,False
1,9,7,616.0,False
1,9,8,1415.0,False
1,9,9,650.0,False
1,9,10,374.0,False
1,9,11,251.0,False
1,9,12,257.0,False
1,9,13,647.0,False
1,9,14,258.0,False
