run,episode,reward,flag
1,1,3061.0,True
1,2,3034.0,True
1,3,1704.0,False
1,4,1710.0,False
1,5,818.0,False
1,6,1930.0,False
1,7,1710.0,False
1,8,1930.0,False
1,9,1930.0,False
1,10,1930.0,False
1,11,1930.0,False
1,12,1930.0,False
1,13,1705.0,False
1,14,1927.0,False
1,15,1705.0,False
1,16,1704.0,False
1,17,818.0,False
1,18,818.0,False
1,19,1930.0,False
1,20,1930.0,False
1,21,1930.0,False
1,22,3062.0,True
1,23,819.0,False
1,24,610.0,False
1,25,3052.0,True
1,26,1061.0,False
1,27,1348.0,False
1,28,1709.0,False
1,29,1930.0,False
1,30,3009.0,True
1,31,3053.0,True
1,32,1155.0,False
1,33,1932.0,False
1,34,3053.0,True
1,35,1929.0,False
1,36,1930.0,False
1,37,1931.0,False
1,38,1930.0,False
1,39,1346.0,False
1,40,1925.0,False
1,41,1930.0,False
1,42,1930.0,False
1,43,1930.0,False
1,44,1930.0,False
1,45,1051.0,False
1,46,1705.0,False
1,47,1930.0,False
1,48,818.0,False
1,49,1930.0,False
1,50,1889.0,False
1,51,2981.0,True
1,52,1930.0,False
1,53,1705.0,False
1,54,1771.0,False
1,55,1930.0,False
1,56,654.0,False
1,57,1930.0,False
1,58,1930.0,False
1,59,3048.0,True
1,60,1930.0,False
1,61,1930.0,False
1,62,3056.0,True
1,63,1344.0,False
1,64,1163.0,False
1,65,1930.0,False
1,66,1930.0,False
1,67,3058.0,True
1,68,1930.0,False
1,69,1931.0,False
1,70,1930.0,False
1,71,1930.0,False
1,72,1705.0,False
1,73,1348.0,False
1,74,3054.0,True
1,75,3035.0,True
1,76,1930.0,False
1,77,1930.0,False
1,78,1930.0,False
1,79,1930.0,False
1,80,1072.0,False
1,81,1705.0,False
1,82,1930.0,False
1,83,3064.0,True
1,84,1930.0,False
1,85,1930.0,False
1,86,1930.0,False
1,87,1705.0,False
1,88,1930.0,False
1,89,1704.0,False
1,90,3059.0,True
1,91,3057.0,True
1,92,1351.0,False
1,93,1704.0,False
1,94,1930.0,False
1,95,1930.0,False
1,96,1931.0,False
1,97,1930.0,False
1,98,1349.0,False
1,99,1155.0,False
1,100,1931.0,False
2,1,1331.0,False
2,2,1060.0,False
2,3,1925.0,False
2,4,1704.0,False
2,5,1704.0,False
2,6,1930.0,False
2,7,1930.0,False
2,8,267.0,False
2,9,1931.0,False
2,10,1705.0,False
2,11,2369.0,False
2,12,1052.0,False
2,13,1925.0,False
2,14,1713.0,False
2,15,1930.0,False
2,16,1888.0,False
2,17,1345.0,False
2,18,1922.0,False
2,19,1930.0,False
2,20,3057.0,True
2,21,654.0,False
2,22,1930.0,False
2,23,1930.0,False
2,24,1930.0,False
2,25,1930.0,False
2,26,1348.0,False
2,27,1345.0,False
2,28,3045.0,True
2,29,1930.0,False
2,30,1439.0,False
2,31,1705.0,False
2,32,1930.0,False
2,33,1930.0,False
2,34,1705.0,False
2,35,1331.0,False
2,36,1155.0,False
2,37,1930.0,False
2,38,1343.0,False
2,39,3022.0,True
2,40,1708.0,False
2,41,1771.0,False
2,42,3061.0,True
2,43,1930.0,False
2,44,1930.0,False
2,45,818.0,False
2,46,1346.0,False
2,47,235.0,False
2,48,1930.0,False
2,49,1930.0,False
2,50,1163.0,False
2,51,1704.0,False
2,52,1061.0,False
2,53,1930.0,False
2,54,1930.0,False
2,55,1930.0,False
2,56,3056.0,True
2,57,1865.0,False
2,58,3065.0,True
2,59,1930.0,False
2,60,3048.0,True
2,61,1771.0,False
2,62,1930.0,False
