run,model,step,reward,flag
1,1,1,442.0,False
1,1,2,393.0,False
1,1,3,409.0,False
1,1,4,390.0,False
1,1,5,384.0,False
1,1,6,451.0,False
1,1,7,432.0,False
1,1,8,461.0,False
1,1,9,276.0,False
1,1,10,598.0,False
1,1,11,395.0,False
1,1,12,556.0,False
1,1,13,445.0,False
1,1,14,282.0,False
1,1,15,829.0,False
1,1,16,279.0,False
1,1,17,276.0,False
1,1,18,277.0,False
1,1,19,829.0,False
1,1,20,715.0,False
1,1,21,390.0,False
1,1,22,838.0,False
1,1,23,276.0,False
1,1,24,670.0,False
1,1,25,659.0,False
1,1,26,276.0,False
1,1,27,408.0,False
1,1,28,260.0,False
1,1,29,391.0,False
1,1,30,397.0,False
1,1,31,397.0,False
1,1,32,406.0,False
1,1,33,276.0,False
1,1,34,369.0,False
1,1,35,276.0,False
1,1,36,273.0,False
1,1,37,447.0,False
1,1,38,653.0,False
1,1,39,276.0,False
1,1,40,278.0,False
1,1,41,447.0,False
1,1,42,259.0,False
1,1,43,276.0,False
1,1,44,278.0,False
1,1,45,823.0,False
1,1,46,259.0,False
1,1,47,259.0,False
1,1,48,443.0,False
1,1,49,259.0,False
1,1,50,276.0,False
1,1,51,723.0,False
1,1,52,440.0,False
1,1,53,440.0,False
1,1,54,75.0,False
1,1,55,276.0,False
1,1,56,571.0,False
1,1,57,276.0,False
1,1,58,276.0,False
1,1,59,446.0,False
1,1,60,276.0,False
1,1,61,451.0,False
1,1,62,259.0,False
1,1,63,451.0,False
1,1,64,261.0,False
1,1,65,450.0,False
1,1,66,276.0,False
1,1,67,451.0,False
1,1,68,451.0,False
1,1,69,276.0,False
1,1,70,242.0,False
1,1,71,448.0,False
1,1,72,451.0,False
1,1,73,720.0,False
1,1,74,443.0,False
1,1,75,443.0,False
1,1,76,282.0,False
1,1,77,839.0,False
1,1,78,276.0,False
1,1,79,446.0,False
1,1,80,433.0,False
1,1,81,276.0,False
1,1,82,449.0,False
1,1,83,658.0,False
1,1,84,930.0,False
1,1,85,432.0,False
1,1,86,277.0,False
1,1,87,451.0,False
1,1,88,443.0,False
1,1,89,449.0,False
1,1,90,276.0,False
1,1,91,443.0,False
1,1,92,390.0,False
1,1,93,276.0,False
1,1,94,451.0,False
1,1,95,281.0,False
1,1,96,1251.0,False
1,1,97,259.0,False
1,1,98,452.0,False
1,1,99,451.0,False
1,1,100,448.0,False
1,2,1,446.0,False
1,2,2,398.0,False
1,2,3,835.0,False
1,2,4,451.0,False
1,2,5,713.0,False
1,2,6,394.0,False
1,2,7,450.0,False
1,2,8,924.0,False
1,2,9,445.0,False
1,2,10,258.0,False
1,2,11,362.0,False
1,2,12,449.0,False
1,2,13,258.0,False
1,2,14,745.0,False
1,2,15,394.0,False
1,2,16,452.0,False
1,2,17,451.0,False
1,2,18,451.0,False
1,2,19,276.0,False
1,2,20,431.0,False
1,2,21,824.0,False
1,2,22,547.0,False
1,2,23,441.0,False
1,2,24,662.0,False
1,2,25,449.0,False
1,2,26,450.0,False
1,2,27,831.0,False
1,2,28,662.0,False
1,2,29,443.0,False
1,2,30,253.0,False
1,2,31,404.0,False
1,2,32,451.0,False
1,2,33,446.0,False
1,2,34,405.0,False
1,2,35,276.0,False
1,2,36,385.0,False
1,2,37,663.0,False
1,2,38,439.0,False
1,2,39,363.0,False
1,2,40,259.0,False
1,2,41,242.0,False
1,2,42,278.0,False
1,2,43,456.0,False
1,2,44,663.0,False
1,2,45,278.0,False
1,2,46,278.0,False
1,2,47,450.0,False
1,2,48,388.0,False
1,2,49,433.0,False
1,2,50,634.0,False
1,2,51,552.0,False
1,2,52,1089.0,False
